timestamp,BTC,Strike25d,buy25d,ExpirationStrike,avgBTCprice,ROI
2024-02-02,42960,44579,0,46435,43695,34%
2024-02-23,50925,53462,1,62049,56349,157%
2024-04-19,64562,69543,1,64369,65103,-8%
2024-05-31,68139,71053,0,71080,69478,11%
2024-06-14,67117,69908,0,63706,65544,-13%
2024-06-21,63706,66386,1,61331,62238,-12%
2024-06-28,61331,63734,1,54294,60005,-19%
2024-07-05,54294,57400,1,57271,57644,-10%
2024-07-12,57271,59778,1,63781,62556,67%
2024-08-09,61062,64542,1,58431,59596,-12%
2024-08-16,58431,61449,1,61235,60001,-8%
2024-09-06,55742,59006,1,57964,56240,-7%
2024-09-13,57964,60926,1,63332,60467,35%
2024-09-20,63332,66558,1,65693,63806,-7%
2024-09-27,65693,68658,1,61482,63277,-13%
2024-10-04,61482,64418,1,60649,61949,-12%
2024-10-11,60649,63122,1,67901,65438,85%
2024-10-25,67594,70478,0,69390,69631,2%
2024-11-08,75875,79492,1,88051,84614,103%
2024-12-20,95301,100744,1,95706,96344,-10%
