timestamp,BTC,Strike25d,sell25d,ExpirationStrike,avgBTCprice,ROI
2024-03-01,62049,66231,0,67399,65271,-1.7%
2024-03-08,67399,72621,0,67158,70722,-1.5%
2024-03-15,67158,72830,0,65857,66096,3.9%
2024-03-22,65857,71372,1,69980,68184,4.1%
2024-03-29,69980,76029,1,67090,67985,0.3%
2024-04-05,67090,72781,1,70741,70133,2.4%
2024-04-12,70741,76763,1,64562,64370,2.0%
2024-04-19,64562,69543,0,64369,65103,2.9%
2024-04-26,64369,69068,1,59318,60742,-0.9%
2024-05-10,62974,66866,1,66155,63012,6.2%
2024-05-17,66155,71268,1,67119,68372,-0.4%
2024-05-24,67119,71279,1,68139,68302,0.9%
2024-07-26,67067,72285,0,64429,66684,0.5%
2024-10-25,67594,70478,1,69390,69631,0.5%
2024-11-01,69390,74529,0,75875,71414,0.9%
2024-11-22,98959,105362,0,95925,96131,3.4%
2024-12-06,98405,103890,1,100252,99228,2.1%
2024-12-27,95706,101008,0,,,
