Date,BTC,Strike_25d,buy_25d,expiration_strike,avg_BTC_price,ROI,atm_7_perc,25toatm_7_perc
2023-05-12,26817.23548,25643.552859414787,0,26876.99632,27008.47709857143,-0.10494100325344191,0.05,0.9416666666666667
2023-05-19,26876.99632,25925.093832373965,0,26719.11655,26784.807769999996,-0.07953612498402786,0.008333333333333333,0.7
2023-05-26,26719.11655,25717.075049158113,0,27247.55068,27389.49104714286,-0.11160156131636145,0.025,0.8166666666666667
2023-06-02,27247.55068,26397.995929623485,0,26488.60896,26644.09293285714,0.035398969539847676,0.008333333333333333,0.6333333333333333
2023-06-09,26488.60896,25535.19217174882,0,26322.86397,25798.074377142857,0.020606054718630112,0.025,0.95
2023-06-16,26322.86397,25428.885304058284,0,30622.93365,28366.68009,0.1702400516223369,0.09166666666666666,0.25833333333333336
2023-07-14,30326.14148,29247.58162849361,0,29918.06225,30025.80843714286,-0.02996859885551874,0.041666666666666664,0.9333333333333333
2023-07-21,29918.06225,29025.936884777977,0,29320.93635,29442.240722857143,-0.003248761947684801,0.025,0.36666666666666664
2023-07-28,29320.93635,28506.81278822325,0,29074.55255,29276.169091428572,-0.06569945438042492,0.008333333333333333,0.8583333333333333
2023-08-04,29074.55255,28345.561122919724,0,29401.40286,29349.744157142854,-0.09155203469551845,0.016666666666666666,0.38333333333333336
2023-08-11,29401.40286,28618.27364359942,0,26047.6557,28383.873814285715,0.3611272080285796,0.008333333333333333,1.0
2023-08-25,26051.0277,25236.161792995565,0,25802.67758,26422.80287285714,-0.1315136191150124,0.041666666666666664,1.0
2023-09-01,25802.67758,25051.53563546064,0,25903.45582,25900.43906714286,-0.09292833637087423,0.041666666666666664,0.9416666666666667
2023-09-08,25903.45582,25148.06866895617,0,26647.22341,26019.010290000002,0.009663418060726568,0.075,0.9
2023-09-22,26580.94824,25889.711701388896,0,26918.04726,26518.65567,-0.022899532399164448,0.025,0.8166666666666667
2023-09-29,26918.04726,26187.782160888655,0,27945.92337,27596.305527142857,-0.03894514789999596,0.05,0.8416666666666667
2023-10-06,27945.92337,27222.291775544698,0,26846.40896,27332.501464285713,0.1019759815295979,0.06666666666666667,0.475
2023-11-10,37327.71401,35709.83863100729,1,36549.85059,36711.272228571426,-0.09969016987472643,0.925,0.14166666666666666
2024-05-31,68138.771,65640.87459250509,0,71079.68,69477.95842857142,-0.025059019445618034,0.08333333333333333,0.3333333333333333
2024-06-07,71079.68,68358.84247399912,1,67117.496,68254.07228571428,0.027463252999377748,0.11666666666666667,0.08333333333333333
2024-06-14,67117.496,64821.920650664506,0,63705.715,65543.53742857142,0.049656965933332374,0.025,0.15833333333333333
2024-06-21,63705.715,61333.77717053468,0,61331.131,62238.37314285715,0.022798736503077614,0.06666666666666667,0.4
2024-06-28,61331.131,59210.114634441845,0,54294.292,60005.40542857143,0.1339715226584356,0.06666666666666667,0.16666666666666666
2024-07-26,67067.055,63225.67440856688,1,64428.63,66684.36985714285,-0.1861653827478162,0.9416666666666667,0.075
2024-09-20,63331.542,60697.38774291892,1,65692.758,63806.47328571428,-0.0020547474492196125,0.5916666666666667,0.058333333333333334
2024-09-27,65692.758,63202.78685425995,1,61482.353,63276.7032857143,0.08300239210405141,0.31666666666666665,0.05
2024-10-11,60648.873,58320.884503537185,0,67901.116,65438.411714285714,0.01782218122388841,0.08333333333333333,0.9
2024-10-25,67594.474,65291.54395793045,0,69389.898,69630.76657142857,-0.10848057182240428,0.05,0.375
2024-11-08,75874.859,72988.42116726666,1,88051.106,84614.27457142857,0.05373786871559021,0.39166666666666666,0.041666666666666664
2024-11-22,98958.903,94021.39210787811,1,95925.208,96130.80700000002,-0.09107232143219722,0.8916666666666667,0.08333333333333333
2025-01-17,104167.9247,99056.68683322184,1,104746.026,103806.30984285715,-0.03766841354048394,0.9333333333333333,0.016666666666666666
2025-02-14,97553.75529,94129.27380203018,0,96153.83356,96643.54146857142,-0.04984670159322543,0.025,0.5166666666666667
2025-02-21,96153.83356,92722.20751277772,0,84391.49973,89497.4612457143,0.31340713165007167,0.041666666666666664,0.49166666666666664
2025-03-21,84083.69738,80815.76552909192,0,84425.52412,86216.47675428572,-0.16022673142587812,0.041666666666666664,0.8916666666666667
2025-04-18,84444.07755,81516.0648727937,0,94717.235,90526.34392571429,0.06197207853577755,0.016666666666666666,0.625
2025-04-25,94717.235,91293.23368900451,0,96951.88351,95066.84857142856,-0.03538165260351675,0.041666666666666664,0.6166666666666667
2025-05-02,96951.88351,93648.75247046552,0,102981.7964,97922.02217285715,0.07978519156506593,0.008333333333333333,0.725
2025-05-16,103511.8056,100444.36600773694,0,107355.2004,107267.23865714287,-0.09356870949362037,0.016666666666666666,0.19166666666666668
2025-06-06,104396.9321,101144.55039567212,0,106124.1459,107497.87037142858,-0.14355069958640948,0.008333333333333333,0.6083333333333333
2025-06-27,107094.0771,104125.04987680136,0,108030.4696,107878.3791,-0.09390012706718621,0.025,0.2916666666666667
2025-07-04,108030.4696,104945.8239233976,1,117474.543,111330.90918571429,0.14936716758894064,0.09166666666666666,0.125
2025-07-11,117474.543,113866.93390691627,0,117963.5714,118556.73032857142,-0.11757082583934135,0.09166666666666666,0.625
2025-08-08,116679.5329,113853.06693470734,0,117440.3689,119095.65757142857,-0.15874801481860393,0.008333333333333333,0.5
2025-08-15,117440.3689,114059.2437534484,0,116903.4868,115409.31685714285,-0.022785960273447713,0.08333333333333333,0.7166666666666667
2025-08-22,116903.4868,113522.01951221893,0,108424.0159,111885.8276857143,0.211653003772659,0.041666666666666664,0.85
2025-09-12,116079.2953,113042.8309920973,1,115694.6027,116112.86174285715,-0.11727653936175345,0.10833333333333334,0.14166666666666666
2025-09-19,115694.6027,111896.07685717834,0,109733.4662,112574.06891428573,0.13782409563487283,0.03333333333333333,1.0
2025-10-03,122286.9467,118943.7038920656,1,113039.3459,121462.83247142857,0.30347858687244367,0.35833333333333334,0.09166666666666666
2025-10-10,113039.3459,109717.35347262007,1,106498.6034,111411.23848571429,0.08031052003167481,1.0,0.008333333333333333
